commentCounts	commentLookings	gameReviews
18638	1611	http://www.ign.com/articles/2017/03/07/nintendo-switch-review
178	73	http://www.ign.com/articles/2017/03/07/fast-rmx-review
227	84	http://www.ign.com/articles/2017/03/07/shovel-knight-treasure-trove-review
171	72	http://www.ign.com/articles/2017/03/06/snipperclips-cut-it-out-together-review
607	154	http://www.ign.com/articles/2017/03/06/super-bomberman-r-review
631	224	http://www.ign.com/articles/2017/03/02/1-2-switch-review
17242	1424	http://www.ign.com/articles/2017/03/02/the-legend-of-zelda-breath-of-the-wild-review
840	265	http://www.ign.com/articles/2016/07/20/i-am-setsuna-review
155	58	http://www.ign.com/articles/2016/12/20/shantae-half-genie-hero-review
704	192	http://www.ign.com/articles/2016/10/05/paper-mario-color-splash-review
964	200	http://www.ign.com/articles/2016/06/29/tokyo-mirage-sessions-fe-review
123	73	http://www.ign.com/articles/2016/04/20/star-fox-guard-review
3179	693	http://www.ign.com/articles/2016/04/20/star-fox-zero-review
1330	442	http://www.ign.com/articles/2016/03/15/pokken-tournament-review
1915	533	http://www.ign.com/articles/2016/03/01/the-legend-of-zelda-twilight-princess-hd-review
468	193	http://www.ign.com/articles/2016/01/04/fast-racing-neo-review
3968	829	http://www.ign.com/articles/2015/12/07/xenoblade-chronicles-x-review
707	269	http://www.ign.com/articles/2015/11/18/animal-crossing-amiibo-festival-review
1539	591	http://www.ign.com/articles/2015/11/18/mario-tennis-ultra-smash-review
23711	478	http://www.ign.com/articles/2015/05/27/splatoon-review
1171	371	http://www.ign.com/articles/2015/10/19/fatal-frame-maiden-of-the-black-water-review
6215	39	http://www.ign.com/articles/2015/09/02/super-mario-maker-review
4831	30	http://www.ign.com/articles/2015/08/28/devils-third-review
569	5	http://www.ign.com/articles/2015/07/24/earthbound-beginnings-review
3842	205	http://www.ign.com/articles/2015/06/22/yoshis-woolly-world-review
3885	0	http://www.ign.com/articles/2015/03/17/mario-party-10-review
364	0	http://www.ign.com/articles/2015/03/12/mario-vs-donkey-kong-tipping-stars-review
4175	0	http://www.ign.com/articles/2015/02/18/kirby-and-the-rainbow-curse-review
419	0	http://www.ign.com/articles/2014/12/12/stealth-inc-2-a-game-of-clones-review
3121	0	http://www.ign.com/articles/2014/12/01/captain-toad-treasure-tracker-review
941	0	http://www.ign.com/articles/2014/11/22/lego-batman-3-beyond-gotham-review
29308	0	http://www.ign.com/articles/2014/11/19/super-smash-bros-for-wii-u-review
3852	1	http://www.ign.com/articles/2014/11/14/sonic-boom-the-rise-of-lyric-review
28864	4	http://www.ign.com/articles/2014/10/13/bayonetta-2-review
7570	0	http://www.ign.com/articles/2014/09/17/hyrule-warriors-review
497	0	http://www.ign.com/articles/2014/08/08/wii-sports-club-review
1305	3	http://www.ign.com/articles/2014/07/23/one-piece-unlimited-world-red-review
56	0	http://www.ign.com/articles/2014/07/01/transformers-rise-of-the-dark-spark-wii-u-review
8220	5	http://www.ign.com/articles/2014/06/25/shovel-knight-review
426	0	http://www.ign.com/articles/2014/06/08/1001-spikes-review
12601	5	http://www.ign.com/articles/2014/05/15/mario-kart-8-review
280	0	http://www.ign.com/articles/2014/04/23/nes-remix-2-review
768	1	http://www.ign.com/articles/2014/04/15/pure-chess-ps4-review
8647	3	http://www.ign.com/articles/2014/02/17/donkey-kong-country-tropical-freeze-review
141	0	http://www.ign.com/articles/2014/02/04/unepic-review
914	0	http://www.ign.com/articles/2014/01/09/dr-luigi-review
821	0	http://www.ign.com/articles/2013/12/20/nes-remix-review
310	0	http://www.ign.com/articles/2013/12/06/adventure-time-explore-the-dungeon-because-i-dont-know-review
560	0	http://www.ign.com/articles/2013/11/20/wii-fit-u-review
9857	5	http://www.ign.com/articles/2013/11/19/super-mario-3d-world-review
578	0	http://www.ign.com/articles/2013/11/08/mario-sonic-at-the-sochi-2014-olympic-winter-games-review
11445	3	http://www.ign.com/articles/2013/10/25/batman-arkham-origins-review
864	0	http://www.ign.com/articles/2013/10/23/how-to-survive-review
667	0	http://www.ign.com/articles/2013/10/23/wii-party-u-review
2328	0	http://www.ign.com/articles/2013/10/21/deus-ex-human-revolution-directors-cut-wii-u-review
5856	5	http://www.ign.com/articles/2013/10/18/sonic-lost-world-review
468	0	http://www.ign.com/articles/2013/10/13/skylanders-swap-force-review
291	0	http://www.ign.com/articles/2013/10/11/just-dance-2014-wii-u-review
9	0	http://www.ign.com/articles/2013/10/11/just-dance-2014-wii-review
564	0	http://www.ign.com/articles/2013/09/25/scribblenauts-unmasked-review
5857	7	http://www.ign.com/articles/2013/09/17/the-legend-of-zelda-the-wind-waker-hd-review
